formula,c_11,c_12,c_13,c_22,c_23,c_33
Ir2F2,121.169506163529,104.240458303902,0.0,121.169506163529,-0.0,63.100871733711
Ir2I2,33.685659805317,-13.060803491349002,0.0,33.685659805317,0.0,36.531761683002
Ir2N2,106.100146662189,141.628631486175,0.0,106.100146662189,0.0,103.375725352728
Ir2O2,77.603545871352,122.235717446871,0.0,77.603545871352,-0.0,-25.261503183576
Ir2S2,112.83728964504301,85.15551146361301,0.0,112.83728964504301,0.0,68.193563559045
Ir2Se2,102.66120103778101,60.151367090547005,0.0,102.66120103778101,0.0,59.889379127985
Mg2As2,8.995562985747,5.09794554552,0.0,8.995562985747,0.0,0.43710584554500004
Mg2Br2,9.655235522808,-0.427884280743,0.0,9.655235522808,-0.0,0.612536012595
Mg2Cl2,24.372412075176005,11.666620459053,0.0,24.372412075176005,0.0,0.017451168450000002
Mg2I2,21.319045425258,9.693958747116,0.0,21.319045425258,0.0,3.606770755944
Mg2N2,58.463820731781006,26.056853962923,0.0,58.463820731781006,0.0,25.574264861502
Mg2O2,60.461997888957,23.700872743568997,0.0,60.461997888957,0.0,56.954900859339006
Mg2P2,20.969397488124002,8.031340004757,-0.0,20.969397488124002,0.0,-1.527179305536
Mg2S2,23.765772720552,13.000367339559,0.0,23.765772720552,0.0,21.983659398438
Mg2Se2,23.262407543850003,10.067817884268,0.0,23.262407543850003,0.0,16.992698700342
Mg2Te2,22.969999439232,6.565294897749,-0.0,22.969999439232,0.0,10.560436815135
Mn2As2,21.215936574195002,2.349147709182,0.0,21.215936574195002,0.0,7.056407517234001
Mn2Br2,0.085198441338,0.6088069734420001,0.0,0.085198441338,0.0,-3.892565786202
Mn2Cl2,21.569533986294,19.430553454203,0.0,21.569533986294,0.0,25.220520492195
Mn2F2,37.205487003078005,28.749642733362002,0.0,37.205487003078005,-0.0,-0.509868033156
Mn2I2,-5.978017155279001,15.295820558868002,0.0,-5.978017155279001,0.0,-3.637521551718
Mn2N2,158.91823885563002,37.983643789089,0.0,158.91823885563002,0.0,57.24394731782401
Mn2O2,59.48184842055,24.889940252799,-0.0,59.48184842055,0.0,34.018940383410005
Mn2P2,38.053889334513,9.642872747685,0.0,38.053889334513,0.0,13.082975660106001
Mn2S2,19.082283240894,11.783488178715,0.0,19.082283240894,-0.0,15.846009975969
Mn2Se2,13.449872699529001,3.540456315834,-0.0,13.449872699529001,-0.0,12.451849560699
Mn2Te2,22.770247854258,5.990949389583001,-0.0,22.770247854258,0.0,7.905269089944
